ProductID,ProductUnits,UnitType,TotalWeightPerUnitLB,TotalWeightPerUnitG
1,1,"GLUS",11.17,5066.62
2,1,"QTUS",2.79,1265.52
3,2,"GLUS",11.26,5107.44
4,2,"QTUS",2.79,1265.52
5,3,"GLUS",11.26,5107.44
6,3,"QTUS",2.81,1274.59
7,4,"GLUS",11.26,5107.44
8,4,"QTUS",2.81,1274.59
9,5,"GLUS",10.44,4735.50
10,5,"QTUS",2.61,1183.87
11,6,"GLUS",11.16,5062.08
12,6,"QTUS",2.79,1265.52
13,7,"GLUS",9.40,4263.76
14,7,"QTUS",2.35,1065.94
15,8,"GLUS",9.05,4105.00
16,8,"QTUS",2.26,1025.11
17,9,"GLUS",9.32,4227.93
18,9,"QTUS",2.33,1056.86
19,10,"GLUS",9.32,4227.93
20,10,"QTUS",2.33,1056.86
21,11,"GLUS",10.35,4694.67
22,11,"QTUS",2.58,1170.26
23,12,"GLUS",11.27,5111.98
24,12,"QTUS",2.81,1274.59
25,13,"GLUS",8.97,4068.72
26,13,"QTUS",2.24,1016.04
27,14,"GLUS",9.32,4227.47
28,14,"QTUS",2.33,1056.86
29,15,"GLUS",9.20,4173.04
30,15,"QTUS",2.30,1043.26
31,16,"GLUS",9.06,4109.54
32,16,"QTUS",2.26,1027.38
33,17,"GLUS",11.33,5139.19
34,17,"QTUS",2.83,1283.66
35,18,"GLUS",11.34,5143.73
36,18,"QTUS",2.83,1283.66
37,19,"GLUS",11.34,5143.73
38,19,"QTUS",2.83,1283.66
39,20,"GLUS",11.34,5143.73
40,20,"QTUS",2.83,1283.66
41,21,"GLUS",11.34,5143.73
42,21,"QTUS",2.83,1283.66
43,22,"GLUS",11.27,5111.98
44,22,"QTUS",2.81,1274.59
45,23,"GLUS",11.34,5143.73
46,23,"QTUS",2.83,1283.66
47,24,"GLUS",11.27,5111.98
48,24,"QTUS",2.82,1279.12
49,25,"GLUS",11.34,5143.73
50,25,"QTUS",2.82,1279.12
51,26,"GLUS",9.18,4163.97
52,26,"QTUS",2.90,1315.41
53,27,"GLUS",10.76,4880.64
54,27,"QTUS",2.69,1220.16
55,28,"GLUS",9.17,4159.43
56,28,"QTUS",2.29,1038.72
57,29,"GLUS",8.77,3978.00
58,29,"QTUS",2.19,993.36
59,30,"GLUS",11.34,5143.73
60,30,"QTUS",2.83,1283.66
61,31,"GLUS",10.28,4662.92
62,31,"QTUS",2.57,1165.73
63,32,"GLUS",9.16,4154.90
64,32,"QTUS",2.29,1038.72
65,33,"GLUS",9.04,4100.47
66,33,"QTUS",2.26,1025.11
67,34,"GLUS",11.10,5034.87
68,34,"QTUS",2.77,1256.44
69,35,"GLUS",9.06,4109.54
70,35,"QTUS",2.26,1025.11
71,36,"GLUS",11.33,5139.19
72,36,"QTUS",2.83,1283.66
73,37,"GLUS",11.33,5139.19
74,37,"QTUS",2.83,1283.66
75,38,"GLUS",11.33,5139.19
76,38,"QTUS",2.83,1283.66
77,39,"GLUS",11.33,5139.19
78,39,"QTUS",2.83,1283.66
79,40,"GLUS",11.23,5093.83
80,40,"QTUS",2.83,1283.66
81,41,"GLUS",11.34,5143.73
82,41,"QTUS",2.83,1283.66
83,42,"GLUS",11.27,5111.98
84,42,"QTUS",2.81,1274.59
85,43,"GLUS",11.27,5111.98
86,43,"QTUS",2.81,1274.59
87,44,"GLUS",11.27,5111.98
88,44,"QTUS",2.81,1274.59
89,45,"GLUS",11.27,5111.98
90,45,"QTUS",2.81,1274.59
91,46,"GLUS",11.27,5111.98
92,46,"QTUS",2.81,1274.59
93,47,"GLUS",11.35,5148.26
94,47,"QTUS",2.83,1283.66



